t_minus_0,t_minus_1,t_minus_2,t_minus_3,t_minus_4,t_minus_5,t_minus_6,t_minus_7,t_minus_8,t_minus_9,velocity
0.0,-15.0,16.0,-2.0,2.0,-5.0,0.5,4.0,2.0,-2.0,-30.96571139703159
2.0,0.0,-15.0,16.0,-2.0,2.0,-5.0,0.5,4.0,2.0,23.636736670889878
-3.0,2.0,0.0,-15.0,16.0,-2.0,2.0,-5.0,0.5,4.0,13.610953062834596
1.0,-3.0,2.0,0.0,-15.0,16.0,-2.0,2.0,-5.0,0.5,7.4400197977499305
1.0,1.0,-3.0,2.0,0.0,-15.0,16.0,-2.0,2.0,-5.0,5.55225358041036
0.5,1.0,1.0,-3.0,2.0,0.0,-15.0,16.0,-2.0,2.0,0.8566334095490458
-2.0,0.5,1.0,1.0,-3.0,2.0,0.0,-15.0,16.0,-2.0,0.0317271633166083
-20.0,-2.0,0.5,1.0,1.0,-3.0,2.0,0.0,-15.0,16.0,0.7138611746241974
-9.5,-20.0,-2.0,0.5,1.0,1.0,-3.0,2.0,0.0,-15.0,21.114427187217764
2.0,-9.5,-20.0,-2.0,0.5,1.0,1.0,-3.0,2.0,0.0,75.01887766217341
-0.5,2.0,-9.5,-20.0,-2.0,0.5,1.0,1.0,-3.0,2.0,92.54813539461186
-1.5,-0.5,2.0,-9.5,-20.0,-2.0,0.5,1.0,1.0,-3.0,73.73392754784986
0.0,-1.5,-0.5,2.0,-9.5,-20.0,-2.0,0.5,1.0,1.0,38.580230593022954
0.0,0.0,-1.5,-0.5,2.0,-9.5,-20.0,-2.0,0.5,1.0,14.515177217358577
0.0,0.0,0.0,-1.5,-0.5,2.0,-9.5,-20.0,-2.0,0.5,3.3948064748795304
0.0,0.0,0.0,0.0,-1.5,-0.5,2.0,-9.5,-20.0,-2.0,0.33313521482458697
0.0,0.0,0.0,0.0,0.0,-1.5,-0.5,2.0,-9.5,-20.0,1.094587134423719
0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.5,2.0,-9.5,-1.2849501143235464
20.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.5,2.0,0.015863581658326353
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.5,-56.01430683551154
1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-84.77498038203737
4.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.6700628832377
-0.5,4.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,-38.08845956161524
10.0,-0.5,4.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,-16.482261342989624
10.0,10.0,-0.5,4.0,1.0,0.0,20.0,0.0,0.0,0.0,-40.928040678453705
0.5,10.0,10.0,-0.5,4.0,1.0,0.0,20.0,0.0,0.0,-76.77973522624637
-2.0,0.5,10.0,10.0,-0.5,4.0,1.0,0.0,20.0,0.0,-67.34090413954874
-15.0,-2.0,0.5,10.0,10.0,-0.5,4.0,1.0,0.0,20.0,-23.367055782698554
-10.0,-15.0,-2.0,0.5,10.0,10.0,-0.5,4.0,1.0,0.0,22.193150739983203
10.0,-10.0,-15.0,-2.0,0.5,10.0,10.0,-0.5,4.0,1.0,93.37304164084428
-4.0,10.0,-10.0,-15.0,-2.0,0.5,10.0,10.0,-0.5,4.0,51.953229930982836
10.0,-4.0,10.0,-10.0,-15.0,-2.0,0.5,10.0,10.0,-0.5,17.94171085555467
10.0,10.0,-4.0,10.0,-10.0,-15.0,-2.0,0.5,10.0,10.0,-6.155069683426317
1.0,10.0,10.0,-4.0,10.0,-10.0,-15.0,-2.0,0.5,10.0,-67.35676772120709
-15.0,1.0,10.0,10.0,-4.0,10.0,-10.0,-15.0,-2.0,0.5,-74.7174696106654
-15.0,-15.0,1.0,10.0,10.0,-4.0,10.0,-10.0,-15.0,-2.0,-15.13385690203286
-4.0,-15.0,-15.0,1.0,10.0,10.0,-4.0,10.0,-10.0,-15.0,73.44838307800016
-11.0,-4.0,-15.0,-15.0,1.0,10.0,10.0,-4.0,10.0,-10.0,100.11506384562834
0.0,-11.0,-4.0,-15.0,-15.0,1.0,10.0,10.0,-4.0,10.0,96.48230364587408
20.0,0.0,-11.0,-4.0,-15.0,-15.0,1.0,10.0,10.0,-4.0,89.94650800264816
-15.0,20.0,0.0,-11.0,-4.0,-15.0,-15.0,1.0,10.0,10.0,30.109077987482546
1.0,-15.0,20.0,0.0,-11.0,-4.0,-15.0,-15.0,1.0,10.0,-45.8140238292148
-3.0,1.0,-15.0,20.0,0.0,-11.0,-4.0,-15.0,-15.0,1.0,-0.6979975929658266
-3.0,-3.0,1.0,-15.0,20.0,0.0,-11.0,-4.0,-15.0,-15.0,19.03629798997848
0.5,-3.0,-3.0,1.0,-15.0,20.0,0.0,-11.0,-4.0,-15.0,34.2018820553279
10.0,0.5,-3.0,-3.0,1.0,-15.0,20.0,0.0,-11.0,-4.0,8.88360572865654
-3.0,10.0,0.5,-3.0,-3.0,1.0,-15.0,20.0,0.0,-11.0,-24.38232500883073
-4.0,-3.0,10.0,0.5,-3.0,-3.0,1.0,-15.0,20.0,0.0,-11.961140570369722
-3.5,-4.0,-3.0,10.0,0.5,-3.0,-3.0,1.0,-15.0,20.0,8.899469310314956
0.0,-3.5,-4.0,-3.0,10.0,0.5,-3.0,-3.0,1.0,-15.0,29.125535924666934
0.5,0.0,-3.5,-4.0,-3.0,10.0,0.5,-3.0,-3.0,1.0,12.040458478661442
5.0,0.5,0.0,-3.5,-4.0,-3.0,10.0,0.5,-3.0,-3.0,2.8395811168384633
5.0,5.0,0.5,0.0,-3.5,-4.0,-3.0,10.0,0.5,-3.0,-1.395995185931742
-10.5,5.0,5.0,0.5,0.0,-3.5,-4.0,-3.0,10.0,0.5,-34.28119996361962
0.0,-10.5,5.0,5.0,0.5,0.0,-3.5,-4.0,-3.0,10.0,6.535795643225928
0.0,0.0,-10.5,5.0,5.0,0.5,0.0,-3.5,-4.0,-3.0,21.241335840484332
5.0,0.0,0.0,-10.5,5.0,5.0,0.5,0.0,-3.5,-4.0,9.137423035189673
-5.0,5.0,0.0,0.0,-10.5,5.0,5.0,0.5,0.0,-3.5,1.395995185931742
0.0,-5.0,5.0,0.0,0.0,-10.5,5.0,5.0,0.5,0.0,1.6180853291481334
20.0,0.0,-5.0,5.0,0.0,0.0,-10.5,5.0,5.0,0.5,2.442991575380571
-10.0,20.0,0.0,-5.0,5.0,0.0,0.0,-10.5,5.0,5.0,-46.369249187255775
20.0,-10.0,20.0,0.0,-5.0,5.0,0.0,0.0,-10.5,5.0,-47.352791250071476
-2.0,20.0,-10.0,20.0,0.0,-5.0,5.0,0.0,0.0,-10.5,-69.35557901015477
-0.5,-2.0,20.0,-10.0,20.0,0.0,-5.0,5.0,0.0,0.0,-72.87729413830077
-20.0,-0.5,-2.0,20.0,-10.0,20.0,0.0,-5.0,5.0,0.0,-30.933984233715027
-1.0,-20.0,-0.5,-2.0,20.0,-10.0,20.0,0.0,-5.0,5.0,23.684327415864903
-2.0,-1.0,-20.0,-0.5,-2.0,20.0,-10.0,20.0,0.0,-5.0,78.92131875011899
15.0,-2.0,-1.0,-20.0,-0.5,-2.0,20.0,-10.0,20.0,0.0,68.70517216216383
-1.0,15.0,-2.0,-1.0,-20.0,-0.5,-2.0,20.0,-10.0,20.0,6.155069683426362
-18.5,-1.0,15.0,-2.0,-1.0,-20.0,-0.5,-2.0,20.0,-10.0,-48.24115182293704
